index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
49,113.88487309,22.78847436,1,31,2,0,322,11,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,2250.0,50.0,89.8,0,0,0,0,0,0,0,0,0,0,52,2,0,0,0,-1,2,26,9,2,89.8,1,1,1,4,6,5
50,114.038985,22.74971,1,1,2,0,315,7,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,50.0,248.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,-1,2,1,1,2,248.0,1,1,1,5,6,5
51,114.028736,22.656181,1,18,2,0,218,17,4800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.0,50.0,76.32,0,0,0,0,0,0,0,0,0,0,39,2,0,0,4,291,2,18,1,2,76.32,1,1,1,2,6,5
52,114.025256,22.597146,1,28,2,0,286,9,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,7500.0,50.0,220.88,0,0,0,0,0,0,0,0,0,0,39,2,0,0,2,1402,2,2,9,2,220.88,1,1,1,5,6,5
53,114.02819153,22.63443303,1,36,2,0,286,19,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,50.0,75.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,4,943,2,18,9,2,75.0,1,1,1,2,6,5
54,114.04061127,22.66121674,1,7,2,0,218,1,5500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,50.0,104.2,0,0,0,0,0,0,0,0,0,0,39,2,0,0,2,1307,2,7,9,2,104.2,1,1,1,5,6,5
55,114.06012081,22.62687588,1,17,2,0,286,14,4000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.0,50.0,141.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,2,1848,2,15,4,2,141.0,1,1,1,3,6,5
56,114.25715519,22.5965413,1,28,2,0,319,6,3800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,50.0,88.87,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,27,9,1,88.87,1,1,1,4,6,5
57,114.34534274,22.69898392,1,29,2,0,313,6,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,89.0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,-1,2,11,4,2,89.0,1,1,1,3,6,5
58,114.03269086,22.64568891,1,11,2,0,218,8,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,50.0,119.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,1900,2,9,9,2,119.0,1,1,1,3,6,5
59,114.2496976,22.56084907,1,9,2,0,309,2,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3445,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,50.0,83.18,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,8,9,2,83.18,1,1,1,3,6,5
60,114.23646545,22.55334282,1,28,2,0,309,2,4200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,0,0,0,0,0,0,0,0,0,0,0,0,0,2100.0,50.0,67.71,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,19,8,2,67.71,1,1,1,2,6,5
61,114.038992,22.636823,1,18,2,0,286,11,5500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,50.0,102.39,0,0,0,0,0,0,0,0,0,0,39,2,0,0,2,1884,2,2,9,2,102.39,1,1,1,3,6,5
62,114.028736,22.656181,1,18,2,0,218,17,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,50.0,104.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,4,291,2,2,10,2,104.0,1,1,1,3,6,5
63,114.259657,22.734662,1,11,2,0,290,3,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,99.6,0,0,0,0,0,0,0,0,0,0,44,2,0,0,1,1557,2,6,9,2,99.6,1,1,1,3,6,5
64,114.346902,22.70041,1,33,2,0,313,2,3800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,50.0,77.04,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,-1,2,6,9,2,77.04,1,1,1,4,6,5
65,114.06981,22.6947664,1,18,2,0,315,2,3800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,50.0,89.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,-1,2,6,1,2,89.0,1,1,1,5,6,5
66,114.03970913,22.63106086,1,6,2,0,286,6,4600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527,0,0,0,0,0,0,0,0,0,0,0,0,0,2300.0,50.0,93.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,4,1385,2,5,9,2,93.0,1,1,1,3,6,5
67,114.0380663,22.64305577,1,28,2,0,286,4,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3529,0,0,0,0,0,0,0,0,0,0,0,0,0,2250.0,50.0,97.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,2367,2,20,9,2,97.0,1,1,1,3,6,5
68,114.243942,22.567224,1,31,2,0,309,7,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,33.0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,22,3,1,33.0,1,1,1,1,6,5
69,114.04272238,22.63423508,1,11,2,0,286,5,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532,0,0,0,0,0,0,0,0,0,0,0,0,0,1800.0,50.0,66.02,0,0,0,0,0,0,0,0,0,0,39,2,0,0,2,1353,2,10,9,2,66.02,1,1,1,2,6,5
